as_of,target_quarter,target_quarter_date,qoq_growth_forecast,qoq_actual,qoq_error,direction_correct,n_months_in_quarter,n_series_selected,target,first,release,v2,c2,asof,model,k,v3,v3_raw,v2_bc,combo,combo_raw,combo_bc2,h,bucket
2024-01-08,2023 Q4,2023-12-01,0.4106135203977955,0.2395,0.1711135203977954,True,3,17,2023Q4,0.2395,2024-03-06,0.4106135203977955,-0.017731428447413572,2024-01-08,0.3372,3,0.1549,0.3372,0.428344948845209,0.2827567601988977,0.37390676019889774,0.2916224744226045,58,30-60d
2024-01-15,2023 Q4,2023-12-01,0.2594541239546538,0.2395,0.0199541239546538,True,3,17,2023Q4,0.2395,2024-03-06,0.2594541239546538,-0.017731428447413572,2024-01-15,0.3894,3,0.20710000000000003,0.3894,0.2771855524020673,0.2332770619773269,0.3244270619773269,0.2421427762010337,51,30-60d
2024-01-22,2023 Q4,2023-12-01,0.2599598518057612,0.2395,0.0204598518057612,True,3,17,2023Q4,0.2395,2024-03-06,0.2599598518057612,-0.017731428447413572,2024-01-22,0.4251,3,0.2428,0.4251,0.2776912802531748,0.2513799259028806,0.34252992590288056,0.2602456401265874,44,30-60d
2024-01-29,2023 Q4,2023-12-01,0.2599598518057612,0.2395,0.0204598518057612,True,3,17,2023Q4,0.2395,2024-03-06,0.2599598518057612,-0.017731428447413572,2024-01-29,0.3206,3,0.1383,0.3206,0.2776912802531748,0.1991299259028806,0.2902799259028806,0.2079956401265874,37,30-60d
2024-02-05,2023 Q4,2023-12-01,0.2541430744233718,0.2395,0.0146430744233718,True,3,17,2023Q4,0.2395,2024-03-06,0.2541430744233718,-0.017731428447413572,2024-02-05,0.3405,3,0.15820000000000004,0.3405,0.2718745028707854,0.2061715372116859,0.2973215372116859,0.2150372514353927,30,<30d
2024-02-12,2023 Q4,2023-12-01,0.2540208981479599,0.2395,0.0145208981479599,True,3,17,2023Q4,0.2395,2024-03-06,0.2540208981479599,-0.017731428447413572,2024-02-12,0.3599,3,0.1776,0.3599,0.2717523265953735,0.21581044907397995,0.30696044907397996,0.22467616329768675,23,<30d
2024-02-19,2023 Q4,2023-12-01,0.2533471011716953,0.2395,0.0138471011716952,True,3,17,2023Q4,0.2395,2024-03-06,0.2533471011716953,-0.017731428447413572,2024-02-19,0.363,3,0.1807,0.363,0.27107852961910883,0.21702355058584766,0.3081735505858476,0.2258892648095544,16,<30d
2024-02-26,2023 Q4,2023-12-01,0.2533471011716953,0.2395,0.0138471011716952,True,3,17,2023Q4,0.2395,2024-03-06,0.2533471011716953,-0.017731428447413572,2024-02-26,0.3657,3,0.18340000000000004,0.3657,0.27107852961910883,0.21837355058584768,0.3095235505858477,0.22723926480955442,9,<30d
2024-03-04,2024 Q1,2024-03-01,0.0853481792730741,0.1275,-0.0421518207269258,True,2,17,2024Q1,0.1275,2024-06-05,0.0853481792730741,-0.017731428447413572,2024-03-04,0.3939,3,0.21159999999999998,0.3939,0.10307960772048767,0.14847408963653705,0.23962408963653703,0.15733980386024382,93,>90d
2024-03-11,2024 Q1,2024-03-01,0.1010070299568964,0.1275,-0.0264929700431035,True,2,17,2024Q1,0.1275,2024-06-05,0.1010070299568964,-0.011415722523591798,2024-03-11,0.3911,3,0.2131,0.3911,0.11242275248048819,0.15705351497844822,0.24605351497844818,0.16276137624024412,86,60-90d
2024-03-18,2024 Q1,2024-03-01,0.6697109662029509,0.1275,0.5422109662029508,True,3,17,2024Q1,0.1275,2024-06-05,0.6697109662029509,-0.011415722523591798,2024-03-18,0.4654,3,0.2874,0.4654,0.6811266887265427,0.47855548310147544,0.5675554831014754,0.48426334436327134,79,60-90d
2024-03-25,2024 Q1,2024-03-01,0.6697109662029509,0.1275,0.5422109662029508,True,3,17,2024Q1,0.1275,2024-06-05,0.6697109662029509,-0.011415722523591798,2024-03-25,0.4579,3,0.2799,0.4579,0.6811266887265427,0.4748054831014754,0.5638054831014754,0.4805133443632713,72,60-90d
2024-04-01,2024 Q1,2024-03-01,0.7007843667046009,0.1275,0.5732843667046008,True,3,17,2024Q1,0.1275,2024-06-05,0.7007843667046009,-0.011415722523591798,2024-04-01,0.561,3,0.38300000000000006,0.561,0.7122000892281927,0.5418921833523005,0.6308921833523005,0.5476000446140964,65,60-90d
2024-04-08,2024 Q1,2024-03-01,0.6119391783359648,0.1275,0.4844391783359648,True,3,17,2024Q1,0.1275,2024-06-05,0.6119391783359648,-0.011415722523591798,2024-04-08,0.5236,3,0.34559999999999996,0.5236,0.6233549008595566,0.4787695891679824,0.5677695891679824,0.4844774504297783,58,30-60d
2024-04-15,2024 Q1,2024-03-01,0.6452149815774222,0.1275,0.5177149815774222,True,3,17,2024Q1,0.1275,2024-06-05,0.6452149815774222,-0.011415722523591798,2024-04-15,0.4993,3,0.32130000000000003,0.4993,0.656630704101014,0.4832574907887111,0.5722574907887111,0.488965352050507,51,30-60d
2024-04-22,2024 Q1,2024-03-01,0.6452149815774222,0.1275,0.5177149815774222,True,3,17,2024Q1,0.1275,2024-06-05,0.6452149815774222,-0.011415722523591798,2024-04-22,0.5009,3,0.3229,0.5009,0.656630704101014,0.4840574907887111,0.5730574907887112,0.489765352050507,44,30-60d
