as_of,target_quarter,target_quarter_date,qoq_growth_forecast,qoq_actual,qoq_error,direction_correct,n_months_in_quarter,n_series_selected,next_target_quarter,next_target_quarter_date,qoq_growth_forecast_next,qoq_actual_next,n_months_in_next_quarter
2019-08-26,2019 Q2,2019-06-01,0.33341652482782186,0.4814,-0.14798347517217814,TRUE,3,14,2019 Q3,2019-09-01,0.8892302054094735,0.439,2
2019-09-02,2019 Q3,2019-09-01,0.3344068538275993,0.439,-0.10459314617240068,TRUE,2,14,NA,NA,NA,NA,NA
2019-09-09,2019 Q3,2019-09-01,0.3902562208945292,0.439,-0.048743779105470786,TRUE,2,14,NA,NA,NA,NA,NA
2019-09-16,2019 Q3,2019-09-01,0.20089163531132415,0.439,-0.23810836468867586,TRUE,3,14,NA,NA,NA,NA,NA
2019-09-23,2019 Q3,2019-09-01,0.20089163531132415,0.439,-0.23810836468867586,TRUE,3,14,NA,NA,NA,NA,NA
2019-09-30,2019 Q3,2019-09-01,0.32173582966798564,0.439,-0.11726417033201436,TRUE,3,14,NA,NA,NA,NA,NA
2019-10-07,2019 Q3,2019-09-01,0.31902290030068314,0.439,-0.11997709969931686,TRUE,3,14,NA,NA,NA,NA,NA
2019-10-14,2019 Q3,2019-09-01,0.306859504357955,0.439,-0.132140495642045,TRUE,3,14,NA,NA,NA,NA,NA
2019-10-21,2019 Q3,2019-09-01,0.3989578025299921,0.439,-0.04004219747000792,TRUE,3,14,2019 Q4,2019-12-01,0.7238898907111809,0.5265,1
2019-10-28,2019 Q3,2019-09-01,0.3989578025299921,0.439,-0.04004219747000792,TRUE,3,14,2019 Q4,2019-12-01,0.7238898907111809,0.5265,1
2019-11-04,2019 Q3,2019-09-01,0.3820151630268953,0.439,-0.05698483697310469,TRUE,3,14,2019 Q4,2019-12-01,0.6960459610700515,0.5265,1
2019-11-11,2019 Q3,2019-09-01,0.3819965969224264,0.439,-0.05700340307757362,TRUE,3,14,2019 Q4,2019-12-01,0.6888298431539303,0.5265,1
