,emp,ft_emp,pt_emp,ue,ud,hours,doe_ads,anz_ads,nab_cond,nab_profit,nab_trade,nab_emp,nab_forward,nab_stocks,nab_conf,nab_cu,aig_pmi,aig_psi,aig_pci,new_reg,anz_finance,anz_sent,wmi_finance,wmi_sent,rt,mv,arrivals,export,import,res_ba,hs_ba,nh_ba,alt_add,non_res_ba,acr,credit,credit_housing,credit_personal,credit_business,firmmbab90,fcmygbag3,fcmygbag5,fcmygbag10,scrigbag3,scrigbag5,scrigbag10,twi,asx200,icp,house_prices,mt103s,credit_card,debit_card
1/09/1982,-0.93524879,-0.522565463,-0.974183863,2.077190303,-0.052217991,-0.49136435,,,,,,,,,,,,,,-1.453635393,,,,-1.430878101,-0.340303622,,,1.731806521,-1.544075193,-0.336874852,-0.580107859,-0.096576724,-0.786192281,-0.349719399,,0.093259996,-1.748805235,0.6158625,0.463218774,,,-3.842565304,-3.974027716,,,,-0.056452279,,1.040169678,,,,
1/10/1982,-0.297480204,-1.607530577,2.314585791,4.298608846,0.884784877,0.475996156,,,,,,,,,,,,,,-0.845326818,,,,-1.602897947,-0.091132641,,,0.150264054,2.264659956,-0.611414129,-0.141198146,-1.310713478,-0.363451799,0.228059197,,-0.502859401,-1.482149347,0.014250039,-0.098336525,,,-1.727641836,-1.929762084,,,,0.121934505,,0.250665171,,,,
1/11/1982,-2.507543351,-1.702877404,-2.164575799,1.942965188,0.314256827,-1.536836912,,,,,,,,,,,,,,-1.384491232,,,,-2.085437507,0.596576258,,,-0.759286404,-2.100313688,0.308606838,0.34268297,0.379646624,0.024741262,-0.484490114,,-0.406138966,-1.530663258,0.468261918,-0.063598303,,,0.251216427,0.275681,,,,-0.103278264,,-0.000192367,,,,
1/12/1982,-2.271533665,-3.36950886,1.249480632,3.621626753,-0.298727202,-1.039656166,,,,,,,,,,,,,,-0.922997003,,,,-1.550307066,-0.351720196,,,0.487915601,0.012376003,0.14552766,-0.123854304,0.519164268,0.468663342,0.65693545,,-1.351042774,-1.772285426,0.416789782,-0.900913088,,,-1.591369518,-1.780166955,,,,0.028303438,,-0.577282041,,,,
1/01/1983,-0.425813872,-0.212842663,-0.438253051,-0.438413613,-0.351746812,-0.849498218,,,,,,,,,,,,,,-0.890744598,,,,-1.199954895,0.405881727,,,-3.136684774,-1.918837306,0.485419132,-0.046962542,1.101967531,-0.69184465,0.081927902,,-0.139256364,-1.658239198,0.186747512,0.171543575,,,-3.868667778,-3.053544749,,,,0.163612102,,0.154990725,,,,
1/02/1983,-0.598680139,-0.897948219,0.385643382,1.836289607,0.1627272,-0.088493508,,,,,,,,,,,,,,-0.58425856,,,,-0.596927806,1.668019452,,,0.776422376,0.514625943,1.798657889,1.305359385,2.087006948,-0.332756941,1.633073912,,1.937047689,-1.280046206,1.316987914,2.092679048,,,2.362561486,2.002200035,,,,-0.468902814,,0.67624195,,,,
1/03/1983,-1.676670321,-1.333767029,-1.068500308,1.521215539,0.245223791,0.067608121,,,,,,,,,,,,,,-0.730927478,,,,-0.176329458,-0.290801822,,,0.724505805,1.102757047,-0.812824155,0.174226309,-1.539426277,0.29258722,-2.138086231,,0.881107149,-0.32296918,1.305561335,0.681746617,,,2.941849399,2.644952763,,,,-2.902206861,,1.54228752,,,,
1/04/1983,-1.279651216,0.050478654,-2.656565807,1.072784486,-0.519567619,-0.982219471,,,,,,,,,,,,,,-0.9431026,,,,-0.016630405,0.647510138,,,0.935001963,-0.793130329,0.661292037,0.296952761,0.949397297,-0.109511601,0.024086329,,-1.290526448,-0.550438341,0.971689935,-1.169165018,,,-2.442400382,-0.829669818,,,,0.099985241,,0.547494318,,,,
1/05/1983,0.77515503,0.688229587,0.483483306,0.927519605,0.660702136,0.093549087,,,,,,,,,,,,,,-0.493048875,,,,-0.199542265,-1.752170652,,,-0.426950646,-1.107277067,0.246588375,1.810119119,-1.164711396,0.371155573,0.636466508,,-0.706252976,-1.466487164,0.692270483,-0.562256982,,,-1.886528234,-3.051579204,,,,0.72646176,,-0.072843036,,,,
1/06/1983,-0.117576775,-0.101621499,0.008169165,-0.509520234,-0.142069043,0.148417711,,,,,,,,,,,,,,-1.015589572,,,,-0.383465262,0.396878725,,,-0.651386122,1.329912981,-0.515734769,0.024783303,-1.224178818,-0.017436365,-0.26419902,,-0.746189654,-1.192550653,0.300417616,-0.406853301,,,4.354437514,5.173875156,,,,0.094060002,,-0.217088453,,,,
